title,artist,album,isrc,platform,duration,addedDate,addedBy,url
"Dreadlock Holiday",10cc,"Bloody Tourists",GBF087800002,spotify,268s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1LOZMYF5s8qhW7Rv4w2gun
"I'm Not In Love",10cc,"The Original Soundtrack",GBF087500001,spotify,367s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5HQEmiV2lKnSO6qa2fsR7x
"The Things We Do For Love",10cc,"Deceptive Bends",GBF087600005,spotify,208s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6KEWtSOGKpIXGw6l1uJgsR
"How Long",Ace,Five-A-Side,GBAZJ0600006,spotify,204s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/4AjKVyNUMdUveKK5OH1OJD
"Even the Nights Are Better","Air Supply","Now And Forever",USAR18200001,spotify,237s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/09bRmFRViBORKQ2miwp04P
"All Out of Love","Air Supply","Lost in Love",USAR18000002,spotify,243s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7dQC53NiYOY9gKg3Qsu2Bs
"We're in This Love Together","Al Jarreau","Breakin' Away",USWB10902587,spotify,226s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1Let4BYaYSum46nAGO1i6v
"Year of the Cat","Al Stewart","Year of the Cat",USRH10650441,spotify,400s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/7MTX3vevnm41xuEoPxWT3j
"Time Passages","Al Stewart","Time Passages",USRH10650445,spotify,403s,"2021-12-06 23:41",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5zVKisBri6JH1fooBhUaVq
"Show and Tell","Al Wilson","Show and Tell: The Best of Al Wilson",US2Y30611996,spotify,208s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2vhW1OmaZDYi63Da9d8R5o
"You're the Only Woman - You & I",Ambrosia,"One Eighty",USWB18000097,spotify,263s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/11qmuUlW5q5diLiVSOlsSF
"How Much I Feel",Ambrosia,"Life Beyond L.A.",USWB17800025,spotify,283s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3GVhCuS4BRxCTvVj4Cmc8w
"Biggest Part of Me",Ambrosia,"One Eighty",USWB18000096,spotify,324s,"2021-04-15 03:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6JHXiRD1QjMK1N6AQEnL04
"Ready for Camarillo",Ambrosia,"Life Beyond L.A.",USWB19902230,spotify,295s,"2022-08-26 21:54",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1dOTlLo7fgs8OcnOQpqPqH
