title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"These Are Days","10,000 Maniacs","Our Time in Eden",USEE10900606,spotify,786h4kDeZiX5nYvOwA3wtE,220s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/786h4kDeZiX5nYvOwA3wtE
"It's Not My Time","3 Doors Down","3 Doors Down",USUM70803427,spotify,0uybt73QFXaLCoxuVf6fhm,242s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0uybt73QFXaLCoxuVf6fhm
"Here Without You","3 Doors Down","Away From The Sun",USUR10200764,spotify,3NLrRZoMF0Lx6zTlYqeIo4,239s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3NLrRZoMF0Lx6zTlYqeIo4
"Be Like That","3 Doors Down","The Better Life",USUR19980275,spotify,3PbHle8KhJp6GuO1jLdEmQ,266s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3PbHle8KhJp6GuO1jLdEmQ
"When I'm Gone","3 Doors Down","Away From The Sun",USUR10200759,spotify,3WbphvawbMZ8FyqDxYGdSQ,260s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3WbphvawbMZ8FyqDxYGdSQ
Kryptonite,"3 Doors Down","The Better Life",USUR19980187,spotify,6ZOBP3NvffbU4SZcrnt1k6,234s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6
"Love Song",311,"Greatest Hits '93 - '03",USVR10400026,spotify,3mtukCAgd0mE260QcBfXAX,212s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3mtukCAgd0mE260QcBfXAX
Amber,311,"Greatest Hits '93 - '03",USVR10100044,spotify,51UtgWS4z1eMPuLQOzPtNH,211s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/51UtgWS4z1eMPuLQOzPtNH
"What's Up?","4 Non Blondes","Bigger, Better, Faster, More !",USIR19200553,spotify,0jWgAnTrNZmOGmqgvHhZEm,296s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0jWgAnTrNZmOGmqgvHhZEm
"Speed of Sound","Acoustic Guitar Revival","Acoustic Renditions of Coldplay",TCAFK2103902,spotify,5JNed3XzXptRYWmUtZ1ZwT,261s,"2022-10-08 19:41",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5JNed3XzXptRYWmUtZ1ZwT
"The Space Between","Acoustic Heartstrings","AH Performs Dave Matthews Band",USA2P1935863,spotify,2L1wD1ZcdsYDfkzUyXZF96,236s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/2L1wD1ZcdsYDfkzUyXZF96
"Soak Up the Sun","Acoustic Heartstrings","Acoustic Guitar Renditions of Sheryl Crow",USA2P2231856,spotify,0bxeNAW3zy0ohjcnLPMTC5,231s,"2022-09-20 20:26",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0bxeNAW3zy0ohjcnLPMTC5
Unwell,"Acoustic Heartstrings","AH Performs Matchbox Twenty",USA2P1917890,spotify,0cjKi8mtYORZ32wvQzU2KS,213s,"2022-09-20 20:26",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0cjKi8mtYORZ32wvQzU2KS
Radioactive,"Acoustic Heartstrings","AH Performs Imagine Dragons",USA2P1806241,spotify,1FVRownssQLLFcZoOwnSiu,219s,"2022-09-20 20:26",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1FVRownssQLLFcZoOwnSiu
"Counting Stars","Acoustic Heartstrings","AH Performs OneRepublic",USA2P1912119,spotify,5p3wu9lzhxuy61HjFXS5rW,233s,"2022-09-20 20:26",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/5p3wu9lzhxuy61HjFXS5rW
Yellow,"Acoustic Heartstrings","AH Performs Coldplay",USA2P1804804,spotify,3IUKLhUpOx3jD9SAf4fmvk,299s,"2022-10-08 19:41",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/3IUKLhUpOx3jD9SAf4fmvk
"Rolling in the Deep",Adele,21,GBBKS1000335,spotify,1CkvWZme3pRgbzaxZnTl5X,228s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1CkvWZme3pRgbzaxZnTl5X
"Rumour Has It",Adele,21,GBBKS1000349,spotify,76N7FdzCI9OsiUnzJVLY2m,221s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/76N7FdzCI9OsiUnzJVLY2m
Cryin',Aerosmith,"Get A Grip",USIR10000430,spotify,0NJC0FDCODpPUntRTTQq97,308s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0NJC0FDCODpPUntRTTQq97
"Miss Murder",AFI,DECEMBERUNDERGROUND,USUM70602578,spotify,0Ti2dlF2xLjXblvdU5fCxM,207s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/0Ti2dlF2xLjXblvdU5fCxM
"I Won't",AJR,"I Won't",USUG12205036,spotify,1y8ooe9Zr1PMIxrOwNeeOi,169s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1y8ooe9Zr1PMIxrOwNeeOi
Bang!,AJR,Bang!,QMRSZ2000128,spotify,53BHUFdQphHiZUUG3nx9zn,171s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
"Hold On","Alabama Shakes","Boys & Girls",USATO1200017,spotify,1EuvOdyyzhFUP2z3gfr6xz,226s,"2022-09-10 16:33",sj1bdpnkh9q3knr3ss718da1d,https://open.spotify.com/track/1EuvOdyyzhFUP2z3gfr6xz
