title;artist;album;isrc;addedDate;addedBy;duration;url
"Because the Night - Live Unplugged";"10,000 Maniacs";"MTV Unplugged";USEE10900535;"2022-04-12 07:52";sj1bdpnkh9q3knr3ss718da1d;223s;https://open.spotify.com/track/5VzvK7YiwWbRePA2JOzhYq
"Rainy Day";"10,000 Maniacs";"Love Among The Ruins";USGF19700901;"2021-08-10 19:58";sj1bdpnkh9q3knr3ss718da1d;286s;https://open.spotify.com/track/2GpP3lZYWuG6nh7KthqtUP
"These Are Days";"10,000 Maniacs";"Our Time in Eden";USEE10900606;"2021-04-15 03:28";sj1bdpnkh9q3knr3ss718da1d;220s;https://open.spotify.com/track/786h4kDeZiX5nYvOwA3wtE
"In My Head (feat. Travis Barker)";"24kGoldn, Travis Barker";"In My Head (feat. Travis Barker)";USQX92200727;"2022-04-05 07:38";sj1bdpnkh9q3knr3ss718da1d;130s;https://open.spotify.com/track/3I3O8aazwBKkXN6RNjY06L
"Be Like That";"3 Doors Down";"The Better Life";USUR19980275;"2021-04-15 03:28";sj1bdpnkh9q3knr3ss718da1d;266s;https://open.spotify.com/track/3PbHle8KhJp6GuO1jLdEmQ
"Here Without You";"3 Doors Down";"Away From The Sun";USUR10200764;"2021-04-15 03:28";sj1bdpnkh9q3knr3ss718da1d;239s;https://open.spotify.com/track/3NLrRZoMF0Lx6zTlYqeIo4
"It's Not My Time";"3 Doors Down";"3 Doors Down";USUM70803427;"2021-04-15 03:28";sj1bdpnkh9q3knr3ss718da1d;242s;https://open.spotify.com/track/0uybt73QFXaLCoxuVf6fhm
Kryptonite;"3 Doors Down";"The Better Life";USUR19980187;"2021-04-15 03:28";sj1bdpnkh9q3knr3ss718da1d;234s;https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6
"When I'm Gone";"3 Doors Down";"Away From The Sun";USUR10200759;"2021-04-15 03:28";sj1bdpnkh9q3knr3ss718da1d;260s;https://open.spotify.com/track/3WbphvawbMZ8FyqDxYGdSQ
All Mixed Up;311;311;USVR10300144;2021-06-09 18:31;sj1bdpnkh9q3knr3ss718da1d;180s;https://open.spotify.com/track/18ZOH3KKu5Elt5ysocFyX4
Amber;311;"Greatest Hits '93 - '03";USVR10100044;"2021-04-15 03:28";sj1bdpnkh9q3knr3ss718da1d;211s;https://open.spotify.com/track/51UtgWS4z1eMPuLQOzPtNH
"Love Song";311;"Greatest Hits '93 - '03";USVR10400026;"2021-04-15 03:28";sj1bdpnkh9q3knr3ss718da1d;212s;https://open.spotify.com/track/3mtukCAgd0mE260QcBfXAX
"What's Up?";"4 Non Blondes";"Bigger, Better, Faster, More !";USIR19200553;"2021-04-15 03:28";sj1bdpnkh9q3knr3ss718da1d;296s;https://open.spotify.com/track/0jWgAnTrNZmOGmqgvHhZEm
"Re-Entry (feat. Mark Hoppus)";"A Day To Remember, Mark Hoppus";"Re-Entry (feat. Mark Hoppus)";USAT22200139;"2022-01-28 20:04";sj1bdpnkh9q3knr3ss718da1d;173s;https://open.spotify.com/track/2f2WCKwB1r2SH7AvJc0P8W
"Miss Murder";AFI;DECEMBERUNDERGROUND;USUM70602578;"2021-04-15 03:28";sj1bdpnkh9q3knr3ss718da1d;207s;https://open.spotify.com/track/0Ti2dlF2xLjXblvdU5fCxM
Silver And Cold;AFI;Sing The Sorrow;USDW10300035;2021-06-17 19:10;sj1bdpnkh9q3knr3ss718da1d;251s;https://open.spotify.com/track/6RGV97HIkgZJjme2dzilfg
Bang!;AJR;Bang!;QMRSZ2000128;"2021-04-15 03:28";sj1bdpnkh9q3knr3ss718da1d;171s;https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
"Way Less Sad";AJR;"Way Less Sad";QMRSZ2003325;"2022-04-21 20:43";sj1bdpnkh9q3knr3ss718da1d;206s;https://open.spotify.com/track/4jbtL4tjkqghUvJknUqU1s
Sail;AWOLNATION;"Megalithic Symphony Deluxe";USP6L1000053;"2021-09-30 19:19";sj1bdpnkh9q3knr3ss718da1d;259s;https://open.spotify.com/track/5xhQChGGhKLWqBqX4XhtYE
Loverboy;A-Wall;Helios;QZFZ41979172;"2021-09-08 23:33";sj1bdpnkh9q3knr3ss718da1d;225s;https://open.spotify.com/track/1FWoak0OgTq1jrYfRKfXsj
"Speed of Sound";"Acoustic Guitar Revival";"Acoustic Renditions of Coldplay";TCAFK2103902;"2022-04-21 20:43";sj1bdpnkh9q3knr3ss718da1d;261s;https://open.spotify.com/track/5JNed3XzXptRYWmUtZ1ZwT
